,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,tuzha,57.6062,47.936,3.33,94,100,5.95,RU
1,saldanha,-33.0117,17.9442,71.6,83,97,12.66,ZA
2,ostersund,63.1792,14.6357,19.4,86,40,17.27,SE
3,poum,-20.2333,164.0167,79.09,77,12,8.05,NC
4,serebryansk,49.6925,83.2892,-2.2,78,75,4.47,KZ
5,vaini,-21.2,-175.2,80.6,94,20,9.22,TO
6,tuktoyaktuk,69.4541,-133.0374,-7.6,77,90,9.22,CA
7,zhangye,38.9342,100.4517,46.06,45,100,11.63,CN
8,ushuaia,-54.8,-68.3,44.6,87,75,3.44,AR
9,tuatapere,-46.1333,167.6833,57.99,74,39,8.01,NZ
10,atuona,-9.8,-139.0333,79.0,76,0,10.89,PF
11,avarua,-21.2078,-159.775,77.0,94,63,1.14,CK
12,urumqi,43.801,87.6005,26.6,80,99,4.47,CN
13,massakory,12.996,15.7293,73.56,21,0,11.12,TD
14,canto do buriti,-8.11,-42.9444,70.86,92,93,3.58,BR
15,dikson,73.5069,80.5464,-17.59,89,99,7.99,RU
16,bredasdorp,-34.5322,20.0403,75.2,78,87,4.61,ZA
17,punta arenas,-53.15,-70.9167,50.0,53,90,19.57,CL
18,cockburn town,21.4612,-71.1419,76.06,78,16,19.95,TC
19,airai,-8.9266,125.4092,68.29,100,100,2.35,TL
20,muzhi,65.3667,64.6667,-17.61,84,100,2.51,RU
21,port blair,11.6667,92.75,82.17,63,100,12.95,IN
22,antigonish,45.6169,-61.9986,12.0,76,46,5.99,CA
23,rikitea,-23.1203,-134.9692,79.57,70,17,4.54,PF
24,wollongong,-34.4333,150.8833,91.99,85,100,5.01,AU
25,varzelandia,-15.7014,-44.0275,64.85,94,100,3.51,BR
26,hermanus,-34.4187,19.2345,73.0,90,67,1.99,ZA
27,andenes,69.3143,16.1194,32.0,86,90,32.21,NO
28,krechevitsy,58.617,31.401,-1.12,92,100,7.58,RU
29,kuah,6.3265,99.8432,89.6,66,20,8.05,MY
30,busselton,-33.65,115.3333,80.01,46,0,10.13,AU
31,ambovombe,-25.1667,46.0833,79.83,73,97,13.71,MG
32,port augusta,-32.5,137.7667,75.0,53,77,17.27,AU
33,victoria,22.2855,114.1577,73.99,52,20,8.05,HK
